ID;Cidade;Tipo_Estabelecimento;Nome;Endereco;Entrega;Telefone;Cardapio;Website
19;formiga;restaurantes pizzarias;Pizzaria Pilão;"
Av. Rio Branco, 434 - Centro, Formiga - MG, 35570-078";"
Fazer um pedido
ifood.com.br";"
(37) 3321-1014";;"
facebook.com"
20;formiga;restaurantes pizzarias;Pizzaria Batidão;"
R. Silviano Brandão, 82 - Formiga, MG, 35570-000";"
Fazer um pedido
ifood.com.br";;;
21;formiga;restaurantes pizzarias;Esquina da Pizza;"
R. Vicente Ferreira, 10 - Formiga, MG, 35570-000";"
Fazer um pedido
ifood.com.br";"
(37) 3321-8195";;
22;formiga;restaurantes pizzarias;Vila imperial formiga mg;"
Praça São Vicente Férrer, 2 - Formiga, MG, 35570-000";"
Fazer um pedido
pedir.delivery";"
(37) 3322-6959";;"
pizzariavilaimperial.com.br"
23;formiga;restaurantes pizzarias;Kintal Restaurante Choperia e Pizzaria;"
Praça Ferreira Pires, 60 - Centro, Formiga - MG, 35570-000";;"
(37) 3321-8470";;"
facebook.com"
24;formiga;restaurantes pizzarias;Pastelaria Central, Formiga - MG;"
Formiga, MG, 35570-000";;"
(37) 3321-4059";;
25;formiga;restaurantes pizzarias;Fratelli Pizza Formiga;"
R. Benjamin Constant, 277 - Formiga, MG, 35570-504";;"
(37) 98416-2370";;"
fratellipizza.com.br"
26;formiga;restaurantes pizzarias;Pizzaria top formiga;"
Av. Abílio Machado - Vila Nirmatelle, Formiga - MG, 35577-070";;"
(37) 99963-0774";;"
pedir.delivery"
27;formiga;restaurantes pizzarias;Na Lenha Costela e Pizzaria;"
Av. Dr. Henrique Braga, 60 - Formiga, MG, 35570-000";;"
(37) 3322-2096";;"
instagram.com"
28;formiga;restaurantes pizzarias;Ki Pizza, Ki Pastel;"
R. Domingos Gontijo, 251 - Jardim Alvorada, Formiga - MG, 35570-000";;;;
29;formiga;restaurantes pizzarias;Pizzaria Di Napoli;"
Rua Dr, R. Luís Tôrres, 51 - Centro, Formiga - MG, 35570-004";"
Fazer um pedido";"
(37) 99908-6288";;"
dinapoliformiga.menudino.com"
30;formiga;restaurantes pizzarias;Restaurante Fogão de Lenha;"
BR-354 - Baiões, Formiga - MG, 35570-000";;"
(37) 99134-3938";;
31;formiga;restaurantes pizzarias;Churrascaria Santa Cruz;"
MG-050, Km 202, s/n Zona rural, Formiga - MG, 35577-300";;"
(37) 99997-2929";;"
api.whatsapp.com"
32;formiga;restaurantes pizzarias;Disk Pizza - Pizzaria;"
Praça Bernardino Nogueira, 4 - Formiga, MG, 35570-144";"
Fazer um pedido
ifood.com.br";"
(37) 99902-8372";;"
bit.ly"
33;formiga;restaurantes pizzarias;Fina formiga;"
Rod. José Francisco da Silva, 250 - Chácara Bom Retiro, Nova Lima - MG, 34002-000";"
Fazer um pedido";;;
34;formiga;restaurantes pizzarias;Villa da Pizza;"
R. Gen. Carneiro, 117 - Centro, Formiga - MG, 35570-002";;"
(37) 99993-0026";;
35;formiga;restaurantes pizzarias;Restaurante Solar 19;"
Praça Ferreira Pires, 34 - Formiga, MG, 35570-000";;;;
36;formiga;restaurantes pizzarias;Pizzaria Nonna Dora;"
Av. Francisca Carlota de Faria, 387 - Ramiro Batista, Formiga - MG, 35572-320";"
Fazer um pedido
ifood.com.br";"
(37) 99964-0100";"
Cardápio
instagram.com";
37;formiga;restaurantes pizzarias;Churrascaria 100%;"
Av. Guiomar Garcia Neto, 175 - Formiga, MG, 35570-000";"
Fazer um pedido
ifood.com.br";"
(37) 3443-0100";;"
churrascaria100.dvstore.com.br"
38;formiga;restaurantes pizzarias;Venda do Chico;"
224, MG-050 - Zona Rural, Formiga - MG, 35570-000";;"
(37) 99923-9989";;"
vendadochico.com.br"
